v8 Active Learning — Top Uncertain Samples
=======================================================
Scored 1308 pool samples (average margin across 4 quadrants)

Rank  Score    Sample
 241. 0.5694 QTP_Wetland_2020_chip_00650_lc3_G29_07_tp0518
 242. 0.5692 QTP_Wetland_2020_chip_00792_lc0_G32_07_tp0518
 243. 0.5691 QTP_Wetland_2020_chip_01271_lc3_G31_09_tp0518
 244. 0.5690 QTP_Wetland_2020_chip_01381_lc3_G32_09_tp0518
 245. 0.5688 QTP_Wetland_2020_chip_01177_lc0_G26_09_tp0518
 246. 0.5681 QTP_Wetland_2020_chip_00703_lc0_G28_07_tp0518
 247. 0.5680 QTP_Wetland_2020_chip_02075_lc2_G05_12_tp0518
 248. 0.5680 QTP_Wetland_2020_chip_02006_lc2_G29_12_tp0518
 249. 0.5679 QTP_Wetland_2020_chip_01384_lc1_G28_09_tp0518
 250. 0.5675 QTP_Wetland_2020_chip_00936_lc0_G35_08_tp0518
 251. 0.5675 QTP_Wetland_2020_chip_01688_lc3_G11_10_tp0518
 252. 0.5674 QTP_Wetland_2020_chip_02017_lc1_G20_12_tp0518
 253. 0.5671 QTP_Wetland_2020_chip_02179_lc1_G29_14_tp0518
 254. 0.5670 QTP_Wetland_2020_chip_01085_lc3_G32_08_tp0518
 255. 0.5668 QTP_Wetland_2020_chip_01873_lc1_G20_11_tp0518
 256. 0.5664 QTP_Wetland_2020_chip_00510_lc0_G16_06_tp0518
 257. 0.5664 QTP_Wetland_2020_chip_00509_lc1_G31_06_tp0518
 258. 0.5659 QTP_Wetland_2020_chip_01252_lc3_G31_09_tp0518
 259. 0.5655 QTP_Wetland_2020_chip_00541_lc3_G34_06_tp0518
 260. 0.5650 QTP_Wetland_2020_chip_01350_lc2_G31_09_tp0518
 261. 0.5649 QTP_Wetland_2020_chip_01333_lc1_G31_09_tp0518
 262. 0.5646 QTP_Wetland_2020_chip_01849_lc2_G17_11_tp0518
 263. 0.5645 QTP_Wetland_2020_chip_00737_lc3_G28_07_tp0518
 264. 0.5644 QTP_Wetland_2020_chip_01375_lc1_G27_09_tp0518
 265. 0.5637 QTP_Wetland_2020_chip_00515_lc1_G31_06_tp0518
 266. 0.5636 QTP_Wetland_2020_chip_00626_lc1_G31_07_tp0518
 267. 0.5633 QTP_Wetland_2020_chip_02174_lc0_G06_14_tp0518
 268. 0.5632 QTP_Wetland_2020_chip_01695_lc1_G08_10_tp0518
 269. 0.5626 QTP_Wetland_2020_chip_01647_lc3_G05_10_tp0518
 270. 0.5625 QTP_Wetland_2020_chip_00664_lc3_G28_07_tp0518
 271. 0.5618 QTP_Wetland_2020_chip_00536_lc0_G23_06_tp0518
 272. 0.5614 QTP_Wetland_2020_chip_00657_lc2_G18_07_tp0518
 273. 0.5614 QTP_Wetland_2020_chip_01908_lc3_G27_11_tp0518
 274. 0.5611 QTP_Wetland_2020_chip_01637_lc1_G26_10_tp0518
 275. 0.5607 QTP_Wetland_2020_chip_02020_lc0_G29_12_tp0518
 276. 0.5605 QTP_Wetland_2020_chip_01379_lc2_G29_09_tp0518
 277. 0.5603 QTP_Wetland_2020_chip_00382_lc1_G31_05_tp0518
 278. 0.5601 QTP_Wetland_2020_chip_01410_lc3_G32_09_tp0518
 279. 0.5600 QTP_Wetland_2020_chip_02177_lc0_G06_14_tp0518
 280. 0.5598 QTP_Wetland_2020_chip_01185_lc2_G35_09_tp0518
 281. 0.5595 QTP_Wetland_2020_chip_02027_lc1_G22_12_tp0518
 282. 0.5594 QTP_Wetland_2020_chip_02187_lc1_G29_14_tp0518
 283. 0.5592 QTP_Wetland_2020_chip_00569_lc0_G24_06_tp0518
 284. 0.5592 QTP_Wetland_2020_chip_01600_lc0_G05_10_tp0518
 285. 0.5591 QTP_Wetland_2020_chip_01683_lc0_G11_10_tp0518
 286. 0.5589 QTP_Wetland_2020_chip_01919_lc3_G20_11_tp0518
 287. 0.5589 QTP_Wetland_2020_chip_02063_lc0_G23_12_tp0518
 288. 0.5588 QTP_Wetland_2020_chip_02128_lc1_G30_13_tp0518
 289. 0.5587 QTP_Wetland_2020_chip_01966_lc3_G09_11_tp0518
 290. 0.5585 QTP_Wetland_2020_chip_02044_lc1_G31_12_tp0518
 291. 0.5582 QTP_Wetland_2020_chip_01304_lc1_G31_09_tp0518
 292. 0.5581 QTP_Wetland_2020_chip_02109_lc1_G31_13_tp0518
